epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,8706.06,0.92287,2.06496,1.15404,1.21083,0,0.67025,0.6286,0.66599,0.48374,0.68178,0.63268,0.66349,0.43973,0.93773,2.04599,1.14323,1.11915,0,0.000310422,0.000310422,0.000310422
29,9021.67,0.92768,2.0584,1.14583,1.21466,0,0.6828,0.62225,0.66337,0.47667,0.68901,0.62295,0.65767,0.42946,0.93463,2.08616,1.15334,1.10054,0,0.000297215,0.000297215,0.000297215
30,9333.77,0.91829,2.06792,1.15075,1.20749,0,0.66517,0.62277,0.66507,0.47753,0.67404,0.62644,0.66129,0.42654,0.94358,2.06692,1.16061,1.11237,0,0.000284009,0.000284009,0.000284009
31,9645.56,0.91988,2.04531,1.13001,1.2036,0,0.71526,0.62022,0.68078,0.49702,0.71458,0.61967,0.67676,0.45102,0.92251,2.01549,1.11343,1.09742,0,0.000270802,0.000270802,0.000270802
32,9956.14,0.9105,2.04359,1.12419,1.20001,0,0.67355,0.64961,0.67288,0.49052,0.67635,0.65057,0.6692,0.43853,0.91935,2.03126,1.12986,1.09339,0,0.000257595,0.000257595,0.000257595
33,10266.7,0.90315,2.01727,1.10741,1.19871,0,0.64534,0.67359,0.68123,0.49868,0.65541,0.65716,0.67806,0.44606,0.91827,1.98919,1.12017,1.09651,0,0.000244389,0.000244389,0.000244389
34,10578.3,0.90141,2.00137,1.11308,1.1977,0,0.69952,0.64616,0.68257,0.4987,0.71929,0.63479,0.68194,0.44864,0.9179,1.99624,1.10533,1.09256,0,0.000231182,0.000231182,0.000231182
35,10886.8,0.90301,2.01844,1.10684,1.19696,0,0.70691,0.64575,0.68385,0.49976,0.70128,0.64262,0.67654,0.44834,0.91785,2.00456,1.11103,1.10198,0,0.000217976,0.000217976,0.000217976
36,11260.7,0.89733,2.00428,1.09372,1.18948,0,0.69149,0.64208,0.67664,0.49669,0.69584,0.64444,0.67555,0.44508,0.91743,1.98087,1.11821,1.09443,0,0.000204769,0.000204769,0.000204769
37,11587.6,0.88998,1.9955,1.09019,1.18751,0,0.71997,0.63698,0.6865,0.50766,0.72694,0.63953,0.68651,0.45484,0.90474,2.00433,1.10127,1.08448,0,0.000191562,0.000191562,0.000191562
