epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,8283.18,0.95022,2.12499,1.18873,1.22743,0,0.64691,0.61583,0.64927,0.46723,0.6343,0.62667,0.64689,0.41922,0.97089,2.08061,1.18843,1.13903,0,0.000548141,0.000548141,0.000548141
29,8577.27,0.95253,2.11869,1.17981,1.22958,0,0.64737,0.61231,0.64011,0.45227,0.64789,0.61445,0.63205,0.40646,0.98149,2.13802,1.19706,1.14302,0,0.000543738,0.000543738,0.000543738
30,8870.26,0.94606,2.12625,1.18931,1.22659,0,0.65714,0.61884,0.64907,0.46132,0.66712,0.62123,0.6455,0.4156,0.98287,2.12035,1.19731,1.15244,0,0.000539336,0.000539336,0.000539336
31,9161.52,0.9524,2.11011,1.1712,1.22499,0,0.66691,0.62256,0.66499,0.47671,0.66444,0.6385,0.66573,0.43364,0.94766,2.06801,1.15056,1.12268,0,0.000534934,0.000534934,0.000534934
32,9466.18,0.94343,2.10901,1.17119,1.21965,0,0.65885,0.62988,0.65714,0.47385,0.66559,0.6283,0.65226,0.42594,0.94605,2.09166,1.16014,1.11718,0,0.000530532,0.000530532,0.000530532
33,9757.57,0.9382,2.08537,1.15286,1.2224,0,0.62898,0.64832,0.65244,0.4688,0.66955,0.61571,0.64924,0.42222,0.9503,2.05708,1.172,1.12143,0,0.00052613,0.00052613,0.00052613
34,10080.7,0.93433,2.0717,1.1587,1.21769,0,0.68068,0.6163,0.66555,0.48087,0.68591,0.62103,0.66302,0.43429,0.93746,2.0391,1.15292,1.11013,0,0.000521727,0.000521727,0.000521727
35,10378.8,0.93661,2.08687,1.15443,1.21817,0,0.66997,0.65795,0.67188,0.4823,0.68564,0.64155,0.66147,0.43263,0.94638,2.0149,1.13254,1.11967,0,0.000517325,0.000517325,0.000517325
36,10674.6,0.93646,2.07531,1.14339,1.21364,0,0.6622,0.62697,0.66944,0.48612,0.67727,0.62378,0.66659,0.43977,0.92793,2.02204,1.15906,1.10121,0,0.000512923,0.000512923,0.000512923
37,10970.2,0.92561,2.06435,1.13539,1.20928,0,0.66173,0.64981,0.67467,0.4914,0.66937,0.64439,0.67251,0.44181,0.93092,2.03698,1.1282,1.10465,0,0.000508521,0.000508521,0.000508521
38,11282.4,0.92533,2.06513,1.13111,1.21328,0,0.65741,0.61961,0.64717,0.45962,0.67126,0.62119,0.64564,0.41181,0.94125,2.07701,1.17305,1.11159,0,0.000504119,0.000504119,0.000504119
39,11608.6,0.92169,2.063,1.13812,1.20944,0,0.69537,0.62632,0.67004,0.48869,0.70956,0.62441,0.66501,0.43589,0.92503,2.04495,1.12406,1.09946,0,0.000499716,0.000499716,0.000499716
40,11920.3,0.92296,2.03932,1.11947,1.20781,0,0.66048,0.63553,0.65969,0.4737,0.6625,0.63592,0.6496,0.42425,0.94701,2.03111,1.14052,1.11636,0,0.000495314,0.000495314,0.000495314
