epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,8410.01,0.94916,2.11678,1.18585,1.22801,0,0.66685,0.62502,0.65223,0.4692,0.65674,0.63218,0.64512,0.41804,0.95441,2.09615,1.16879,1.13426,0,0.000524369,0.000524369,0.000524369
29,8702.47,0.95051,2.11337,1.1802,1.22932,0,0.61829,0.65124,0.64898,0.46159,0.64549,0.63146,0.64068,0.41518,0.96571,2.12328,1.19084,1.13283,0,0.000519086,0.000519086,0.000519086
30,8998.48,0.94329,2.11758,1.18597,1.2238,0,0.65611,0.61798,0.64866,0.4586,0.67541,0.60314,0.64328,0.41455,0.97787,2.11508,1.20357,1.144,0,0.000513803,0.000513803,0.000513803
31,9290.55,0.94567,2.10499,1.1689,1.2197,0,0.65496,0.63693,0.66804,0.47537,0.65247,0.63381,0.661,0.43525,0.94167,2.07886,1.14468,1.11792,0,0.000508521,0.000508521,0.000508521
32,9582.73,0.94063,2.09286,1.16385,1.21881,0,0.64749,0.63963,0.6562,0.46956,0.6482,0.63931,0.64883,0.42608,0.94411,2.07619,1.15734,1.11426,0,0.000503238,0.000503238,0.000503238
33,9877.3,0.93345,2.07693,1.14746,1.21709,0,0.67126,0.61282,0.64809,0.47198,0.67323,0.62102,0.64378,0.42178,0.93848,2.02687,1.17187,1.10756,0,0.000497956,0.000497956,0.000497956
34,10172.2,0.93191,2.06371,1.15534,1.21571,0,0.70007,0.63611,0.67051,0.48642,0.69801,0.63495,0.66512,0.43201,0.92852,2.02984,1.14515,1.10637,0,0.000492673,0.000492673,0.000492673
35,10467.5,0.93215,2.08247,1.1488,1.21633,0,0.68704,0.62874,0.66605,0.48014,0.6938,0.61693,0.65686,0.42918,0.93156,2.04417,1.13447,1.11591,0,0.00048739,0.00048739,0.00048739
36,10763.7,0.93148,2.07386,1.14305,1.21069,0,0.65418,0.64877,0.66825,0.47967,0.65193,0.64795,0.66099,0.42981,0.94468,2.04472,1.1714,1.11955,0,0.000482108,0.000482108,0.000482108
37,11059.3,0.92416,2.06686,1.13519,1.20927,0,0.66231,0.64131,0.66742,0.48694,0.67475,0.64008,0.6668,0.437,0.94536,2.05517,1.15751,1.11666,0,0.000476825,0.000476825,0.000476825
