epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,2722.99,1.00441,2.22843,1.2696,1.26398,0,0.67345,0.58596,0.6406,0.45082,0.68037,0.58658,0.63377,0.40131,1.00542,2.17834,1.2445,1.16824,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,2838.57,1.01209,2.22189,1.27162,1.27065,0,0.64789,0.61191,0.63852,0.45355,0.64766,0.61072,0.63319,0.41108,0.99625,2.16891,1.26006,1.18364,0,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,2954.31,0.9941,2.1931,1.24988,1.25761,0,0.6332,0.61707,0.6347,0.44867,0.63829,0.61314,0.62637,0.39959,0.97725,2.15217,1.21695,1.16493,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,3069.78,0.9905,2.20168,1.24207,1.25796,0,0.62146,0.63528,0.65119,0.46027,0.62972,0.62807,0.64281,0.41448,0.99261,2.14783,1.21078,1.16733,0,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,3186.01,0.98906,2.17136,1.23117,1.25022,0,0.65363,0.60249,0.63698,0.44924,0.6395,0.6075,0.62805,0.40375,0.96871,2.12819,1.22044,1.14548,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,3303.13,0.97629,2.15913,1.22311,1.24646,0,0.65003,0.60806,0.63595,0.45577,0.6665,0.61119,0.63536,0.41184,0.97948,2.13475,1.23429,1.15845,0,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,3419.89,0.98432,2.155,1.21561,1.25205,0,0.64257,0.59511,0.6343,0.44372,0.64095,0.59136,0.62425,0.39493,0.98971,2.20075,1.26144,1.16277,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,3537.72,0.97483,2.16253,1.22398,1.24622,0,0.6439,0.60893,0.63432,0.44732,0.64142,0.60884,0.62901,0.40291,0.9947,2.17073,1.22524,1.16829,0,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,3654.24,0.97955,2.15291,1.20012,1.2419,0,0.6494,0.61096,0.64374,0.45546,0.65538,0.61102,0.64231,0.4118,0.97185,2.12938,1.21798,1.15807,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3771.55,0.97067,2.14087,1.2058,1.23983,0,0.66746,0.62635,0.65337,0.46722,0.66381,0.63806,0.65234,0.42547,0.959,2.07796,1.17875,1.12648,0,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3889.27,0.96287,2.11588,1.18152,1.23979,0,0.65587,0.61774,0.64844,0.46323,0.67261,0.60707,0.64299,0.41283,0.96458,2.04242,1.18204,1.14004,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,4006.6,0.96016,2.10311,1.18542,1.23791,0,0.64028,0.64409,0.64734,0.46386,0.64066,0.64545,0.64462,0.41863,0.96656,2.04656,1.16459,1.14249,0,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,4124.79,0.9661,2.12624,1.18602,1.23838,0,0.66544,0.63236,0.66001,0.47317,0.67702,0.62056,0.65127,0.42832,0.95872,2.06219,1.16811,1.13921,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,4242.2,0.95847,2.11084,1.17106,1.22975,0,0.64871,0.63861,0.65615,0.46888,0.66893,0.62446,0.65107,0.42587,0.9603,2.06615,1.19583,1.13604,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,4359.16,0.95064,2.09727,1.16174,1.22537,0,0.67776,0.62963,0.66449,0.48138,0.69219,0.63093,0.66191,0.43101,0.93989,2.02018,1.13898,1.12534,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,4476.19,0.95048,2.08908,1.15683,1.23206,0,0.63955,0.63374,0.65335,0.46153,0.66274,0.62448,0.65011,0.41389,0.95983,2.07427,1.17306,1.13599,0,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,4592.19,0.94733,2.09438,1.16447,1.22569,0,0.66929,0.63852,0.67532,0.48641,0.67565,0.62574,0.66853,0.43919,0.94883,2.03746,1.13617,1.12992,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,4708.53,0.94391,2.06095,1.14517,1.22347,0,0.64654,0.63657,0.65852,0.46874,0.67393,0.62607,0.65535,0.42446,0.95811,2.05181,1.15306,1.13999,0,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,4824.79,0.94225,2.07133,1.15352,1.22903,0,0.68692,0.62181,0.66375,0.47377,0.68208,0.6228,0.65659,0.42421,0.93713,2.04212,1.14762,1.11827,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,4941.39,0.9401,2.03672,1.12779,1.21932,0,0.65187,0.64666,0.66091,0.46925,0.66234,0.64221,0.65578,0.42738,0.95534,2.03171,1.13001,1.12857,0,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,5057.87,0.94439,2.07458,1.15084,1.22517,0,0.66085,0.65465,0.67637,0.48727,0.65994,0.65404,0.66736,0.44106,0.9334,2.05371,1.11245,1.1176,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,5173.38,0.93495,2.0517,1.12988,1.21695,0,0.67481,0.64556,0.67187,0.4874,0.67504,0.64333,0.66355,0.4413,0.93535,2.00825,1.09719,1.12467,0,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,5289.07,0.93538,2.05251,1.12972,1.22091,0,0.6859,0.64309,0.67614,0.48646,0.68815,0.64043,0.66837,0.43715,0.93811,2.02233,1.10138,1.12299,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,5405.12,0.9354,2.04501,1.11896,1.21347,0,0.66253,0.6246,0.65865,0.47625,0.66816,0.62634,0.65685,0.43329,0.93869,2.03686,1.12558,1.11684,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,5520.86,0.92329,2.01691,1.11052,1.20902,0,0.68533,0.64418,0.67777,0.48918,0.69212,0.64659,0.67241,0.44102,0.92896,2.03916,1.10977,1.11791,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,5637.46,0.92668,2.01175,1.10474,1.20902,0,0.67477,0.65318,0.67624,0.4918,0.67735,0.64773,0.66877,0.44326,0.92522,2.0112,1.09399,1.11101,0,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,5753.09,0.92614,2.02317,1.11313,1.2089,0,0.65687,0.66002,0.67708,0.49145,0.66197,0.65256,0.66919,0.44172,0.9351,2.01963,1.11309,1.11926,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,5869.33,0.92819,2.02412,1.11204,1.21358,0,0.68616,0.62595,0.66405,0.48497,0.68616,0.62709,0.65716,0.43621,0.94251,2.04543,1.13328,1.11545,0,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,5985.87,0.92049,2.00954,1.10021,1.20501,0,0.69775,0.63976,0.67811,0.49224,0.70329,0.64148,0.67096,0.44047,0.93262,2.02549,1.09762,1.11588,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,6102.2,0.92159,2.0031,1.09611,1.20767,0,0.67391,0.64324,0.66947,0.48544,0.68328,0.63273,0.66353,0.44026,0.93313,2.04009,1.11903,1.10951,0,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,6219.16,0.91731,1.99571,1.08622,1.203,0,0.66412,0.64997,0.66821,0.4919,0.68176,0.63347,0.66227,0.44559,0.92058,2.00225,1.09366,1.10172,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,6335.93,0.91158,1.99857,1.08548,1.1967,0,0.65831,0.65854,0.67876,0.49276,0.66443,0.66312,0.67558,0.44127,0.9164,2.0016,1.09522,1.09637,0,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,6452.21,0.9184,1.98804,1.08611,1.20055,0,0.67041,0.6665,0.67985,0.49924,0.70489,0.64171,0.6762,0.45008,0.90673,1.99483,1.06959,1.09499,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,6569.02,0.90906,1.97101,1.07798,1.20056,0,0.67595,0.67273,0.68676,0.50387,0.67738,0.67422,0.68361,0.45329,0.91128,1.97823,1.07538,1.10021,0,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,6685.09,0.90438,1.97541,1.07502,1.1929,0,0.67584,0.65693,0.68033,0.4992,0.67581,0.65825,0.67572,0.45099,0.91801,1.98379,1.08938,1.10546,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,6801.67,0.90761,1.96903,1.07014,1.19637,0,0.69353,0.63949,0.68096,0.49719,0.68447,0.65589,0.67989,0.45519,0.92301,1.97465,1.0849,1.10856,0,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,6918.33,0.90649,1.96806,1.07204,1.19496,0,0.68574,0.6491,0.68113,0.49979,0.68061,0.65647,0.67676,0.44976,0.90976,1.99427,1.06667,1.09695,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,7035.53,0.89509,1.94989,1.06393,1.18672,0,0.68915,0.64269,0.68616,0.50375,0.69753,0.64686,0.6837,0.45544,0.92017,2.04143,1.07207,1.10761,0,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,7152.61,0.90606,1.97268,1.06312,1.19513,0,0.70476,0.6579,0.69001,0.50825,0.71373,0.65817,0.68686,0.45679,0.90417,1.98536,1.06682,1.09429,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,7268.2,0.90349,1.95965,1.06156,1.19462,0,0.68236,0.6628,0.69141,0.50526,0.68465,0.65457,0.67822,0.46067,0.91754,1.96397,1.06124,1.09684,0,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,7383.47,0.8997,1.93377,1.05333,1.19063,0,0.69851,0.65647,0.68795,0.50511,0.69227,0.66625,0.68129,0.45629,0.91276,2.00943,1.07279,1.09643,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,7500.97,0.89753,1.94989,1.05158,1.18907,0,0.66422,0.67515,0.68401,0.50217,0.66983,0.67037,0.67559,0.45371,0.90019,1.99262,1.06386,1.088,0,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,7617.53,0.89574,1.94086,1.0492,1.19277,0,0.68166,0.6608,0.68433,0.50591,0.6825,0.66136,0.68054,0.4562,0.90511,1.94888,1.06048,1.08988,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,7735.35,0.89596,1.92863,1.04475,1.1903,0,0.68171,0.6726,0.69186,0.51027,0.68408,0.67396,0.68819,0.46394,0.9001,1.98093,1.05254,1.08829,0,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,7851.61,0.89032,1.92525,1.04185,1.18542,0,0.67774,0.693,0.70402,0.51732,0.71158,0.66486,0.70193,0.46852,0.89443,1.95699,1.03799,1.08137,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,7967.75,0.88211,1.92079,1.03574,1.1809,0,0.68975,0.66437,0.68709,0.50354,0.68967,0.66274,0.68121,0.45305,0.9101,2.03011,1.07177,1.09483,0,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,8084.61,0.87984,1.91651,1.02376,1.17358,0,0.67736,0.68837,0.6921,0.50954,0.68564,0.69195,0.69203,0.46054,0.89515,1.97491,1.03592,1.08423,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
